N,P,K,temperature,humidity,ph,rainfall,label,youtube link
89,47,38,25.52468965,72.24850829,6.002524871,151.8869972,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
60,37,39,26.59104992,82.94164078,6.033485257,161.2469997,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
63,41,45,25.29781791,86.8870535,7.121933579,196.6249511,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
86,40,39,25.72100868,88.16513579,6.207459637,175.6086697,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
96,41,40,23.58419277,72.00460848,6.090060478,190.4242157,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
63,37,43,23.41798979,85.08640476,6.661957897,185.7446728,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
70,43,40,24.35564134,88.80391021,6.176860192,169.1168028,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
67,55,44,26.284017,75.14640198,7.251847296,182.2685447,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
74,40,40,25.13842773,83.12053888,6.386259978,169.3388465,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
74,46,45,25.75734909,88.36668522,6.025028997,189.4263485,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
89,41,38,23.12844351,74.68322732,6.344751947,199.8362913,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
60,55,40,24.9949957,88.95692783,7.02777956,151.4935635,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
67,43,38,25.21622704,70.88259632,7.299304715,195.8645552,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
70,38,35,24.39736241,79.26861738,7.014063944,164.2697011,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
74,49,38,23.31410442,71.4509053,7.488014404,164.4970373,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
90,40,39,25.72668885,81.86171563,6.626503893,191.9649389,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
82,35,44,26.96656378,78.21047693,6.239011,169.8391177,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
73,45,37,23.70467146,74.63745355,6.742688094,181.2783964,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
85,53,38,24.90075709,73.84186449,6.588017308,153.8990984,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
81,56,36,23.39605743,72.60512854,7.097586415,174.7876411,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
84,55,38,26.8748389,79.78725152,6.956682743,173.1017097,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
80,45,42,23.1426498,74.99739774,7.380396262,151.9035477,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
76,54,45,24.29496635,77.62976013,6.176618831,184.9800516,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
76,56,39,24.39459498,89.89106506,6.551130445,197.1220049,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
81,40,45,25.7629429,80.76238215,6.427726565,174.5071843,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
76,44,45,25.4879684,84.48235878,6.740947635,168.7848886,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
69,47,40,25.37122686,76.2403666,6.130136384,183.8270791,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
82,40,45,26.21312799,81.70476368,6.667633355,180.1237765,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
69,57,35,24.30748599,78.54340987,6.186814392,186.2337571,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
81,36,38,23.76554749,87.98329901,6.334837865,150.3166152,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
67,60,38,24.79853023,78.53037059,7.16214284,162.2847429,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
72,51,40,23.20683504,74.09956958,7.422318499,199.4766779,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
65,39,45,23.66805429,70.89000744,6.768001309,184.4633281,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
78,50,43,25.12417673,85.72530641,6.348441469,159.5718087,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
77,52,41,23.89069041,83.46409075,6.097294061,167.7230632,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
89,52,42,23.09433785,81.45139295,6.14132902,196.6587013,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
62,49,37,24.21744605,82.85284045,7.479248124,166.1365886,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
90,48,45,24.06475727,71.31342851,6.509174789,153.6390212,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
66,47,36,24.85441411,74.4407048,6.57256106,175.572958,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
80,52,39,26.41915161,76.85691248,7.165696848,197.2101782,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
89,52,45,24.89326318,77.01222585,7.207457208,196.469984,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
77,51,44,23.25583402,82.7015932,7.124333547,166.2160846,Jute,https://youtu.be/Y4wzO75tMjM?si=0DTyyneH2otipLIw
